name,address,city,stars,review_count,categories,latitude,longitude,price
Bin Qasim Guest House,"Gulshan e hadeed, Bin Qasim Town, Sindh, 75010",Karachi,4.7,85,Guest House,24.8596,67.0601,"3,955"
"Star Guest House","18 banglore town service road, Shahreh e Faisal، Block A Bangalore Town,Sindh 75400",Karachi,4.1,154,Guest House,24.8698,67.0868,"7,345"
Shell pump,"Federal B Area Block 16 Gulberg Town,Sindh, Pakistan",Karachi,5,1,Rest stop,24.9375,67.0848,
Karachi Toll Plaza,"Dumba Goth Road (M9, Malir Cantonment,Sindh, Pakistan",Karachi,3.9,27,Rest stop,24.9827,67.2277,
DHA City Enterchange,"Karachi - Hyderabad Motorway, Gadap Town,Sindh, Pakistan",Karachi,2,1,Rest stop,25.036,67.429,
Sindh University Shuttle Bus Stop,"Jamshoro,Sindh",Jamshoro,3.8,6,Rest stop,25.4301,68.2793,
"Hotel Sehwan Divine","Sehwan Bypass Road, Opp. New Bus Stop, Main Indus Highway, Sehwan Sharif، Indus Hwy, Sindh 76140",Sehwan,4.2,433,Hotel,26.4247,67.8523,"7,603"
Hotel Galaxy,"164, B.C، H.S Shahrah-e-Faisal, Darwaish Colony, Sindh 75400, Pakistan",Karachi,3.8,"1,134",Hotel,24.8673,67.0842,"13,671"
Hotel Seaview,"M-3 Sambrina Beach Building Clifton Block 4 Opposite Carrefour Block 4 Clifton, Sindh 75500, Pakistan",Karachi,3.9,203,Hotel,24.8027,67.0311,"3,338"
"Mai kolachi waiting bus stop","QM Building,@ BC 15, Block 7, KDA 5, Karachi 75600 Mai Kolachi Bypass, ZONE D - Block 7 Zone C Block 7 Clifton",Karachi,4,1,Rest stop,24.8271,67.0238,
"Liyari express gardan toll","179, Garden West Area, Karachi, Karachi City, Sindh, Pakistan",Karachi,5,1,Rest stop,24.8818,67.0225,
Sun Shine Guest House,"B-52, Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300, Pakistan",Karachi,4,83,Guest House,24.9316,67.095,"3,000"
Indus Hotel,"Thandi Sarak, opposite Niaz Stadium، GOR Colony, Hyderabad, Sindh 71000, Pakistan",Hyderabad,4,"2,421",Hotel,25.3802,68.3377,"15,000"
Hotel City Gate,"National Highway , Opposite Central Jail، Heerabad, Hyderabad, Sindh, Pakistan",Hyderabad,3.9,345,Hotel,25.4073,68.3669,"4,200"
